Country,Name,State,fname
AR,Alto Verde,M,Argentina
AR,Alvarez,S,Argentina
AR,Alvear,S,Argentina
AR,Añatuya,G,Argentina
AR,Ancón,B,Argentina
AR,Andacollo,Q,Argentina
AR,Andalgalá,K,Argentina
AR,Añelo,Q,Argentina
AR,Angaco,J,Argentina
AR,Apolinario Saravia,A,Argentina
AR,Apostoles,N,Argentina
AR,Aranguren,E,Argentina
AR,Arias,X,Argentina
AR,Aristóbulo del Valle,N,Argentina
AR,Armstrong,S,Argentina
AR,Arrecifes,B,Argentina
AR,Arroyito,X,Argentina
AR,Arroyo Seco,,Argentina
AR,Asturias,,Argentina
AR,Atucha,B,Argentina
AR,Avellaneda,C,Argentina
AR,Avellaneda,S,Argentina
AR,Azul,B,Argentina
AR,Bahía Blanca,B,Argentina
AR,Bahia San Blas,B,Argentina
AR,Bajo Grande,F,Argentina
AR,Bajo Hondo,B,Argentina
AR,Balcarce,B,Argentina
AR,Ballesteros,X,Argentina
AR,Banda del Río Salí,T,Argentina
AR,Banfield,B,Argentina
AR,Baradero,B,Argentina
AR,Barrancas,M,Argentina
AR,Barranqueras,H,Argentina
AR,Barreal,J,Argentina
AR,Barrio Batan,B,Argentina
AR,Barrio Marquez de Sobremonte,X,Argentina
AR,Beccar,B,Argentina
AR,Belén de Escobar,B,Argentina
AR,Bell Ville,X,Argentina
AR,Bella Vista,B,Argentina
AR,Bella Vista,T,Argentina
AR,Bella Vista,W,Argentina
AR,Benavidez,B,Argentina
AR,Bengolea,X,Argentina
AR,Benito Juarez,B,Argentina
AR,Berazategui,B,Argentina
AR,Bernal,B,Argentina
AR,Bombal,S,Argentina
AR,Boulogne,B,Argentina
AR,Bowen,M,Argentina
AR,Bragado,B,Argentina
AR,Brandsen,B,Argentina
AR,Buenos Aires,C,Argentina
AR,Burruyacú,T,Argentina
AR,Burzaco,B,Argentina
AR,Caballito,B,Argentina
AR,Cabo San Antonio,,Argentina
AR,Cafayate,A,Argentina
AR,Calabacillas,E,Argentina
AR,Caleta Córdoba,X,Argentina
AR,Caleta Olivia,Z,Argentina
AR,Campana,B,Argentina
AR,Campo Grande,N,Argentina
AR,Campo Largo,H,Argentina
AR,Campo Quijano,A,Argentina
AR,Campo Ramón,N,Argentina
AR,Campo Salto,A,Argentina
AR,Campo Santo,A,Argentina
AR,Campo Viera,N,Argentina
AR,Cañada de Gómez,S,Argentina
AR,Canada Rosquin,S,Argentina
AR,Canals,X,Argentina
AR,Candelaria,N,Argentina
AR,Canning,B,Argentina
AR,Canuelas,B,Argentina
AR,Capilla del Señor,B,Argentina
AR,Capitan Bermudez,,Argentina
AR,Capitán Sarmiento,B,Argentina
AR,Carcaraña,S,Argentina
AR,Carlos Casares,B,Argentina
AR,Carmen de Areco,B,Argentina
AR,Carmen de Patagones,B,Argentina
AR,Carmen Del Sauce,S,Argentina
AR,Carnerillo,X,Argentina
AR,Caseros,B,Argentina
AR,Casilda,S,Argentina
AR,Castelar,B,Argentina
AR,Catamarca,K,Argentina
AR,Catinzaco,F,Argentina
AR,Catrilo,L,Argentina
AR,Caucete,J,Argentina
AR,Caviahue,Q,Argentina
AR,Centenario,B,Argentina
AR,Ceres,S,Argentina
AR,Cerro Azul,N,Argentina
AR,Cevil Pozo,T,Argentina
AR,Cevil Redondo,T,Argentina
AR,Chabás,S,Argentina
AR,Chacabuco,B,Argentina
AR,Chacras De Coria,M,Argentina
AR,Chajarí,E,Argentina
AR,Charata,H,Argentina
AR,Chascomus,B,Argentina
AR,Chilecito,F,Argentina
AR,Chimbas,J,Argentina
AR,Chimpay,R,Argentina
AR,Chivilcoy,B,Argentina
AR,Choele Choel,R,Argentina
AR,Chos Malal,Q,Argentina
AR,Cinco Saltos,R,Argentina
AR,Cipoletti,R,Argentina
AR,City Bell,B,Argentina
AR,Ciudad Evita,B,Argentina
AR,Ciudadela,B,Argentina
AR,Classon,S,Argentina
AR,Clorinda,F,Argentina
AR,Colazo,X,Argentina
AR,Colón,E,Argentina
AR,Colón,C,Argentina
AR,Colonia Caroya,X,Argentina
AR,Colonia Catriel,R,Argentina
AR,Colonia Sarmiento,U,Argentina
AR,Comodoro Rivadavia,U,Argentina
AR,Concepción,W,Argentina
AR,Concepcion de la Sierra,N,Argentina
AR,Concepción del Uruguay,E,Argentina
AR,Conceptión,T,Argentina
AR,Concordia,E,Argentina
AR,Contralmirante Martín Guerrico,R,Argentina
AR,Coquimbito,M,Argentina
AR,Córdoba,X,Argentina
AR,Coronda,S,Argentina
AR,Coronel Suarez,B,Argentina
AR,Corrientes,W,Argentina
AR,Costa de Araujo,M,Argentina
AR,Crespo,E,Argentina
AR,Cruz Alta,X,Argentina
AR,Cruz De Piedra,M,Argentina
AR,Cruz del Eje,X,Argentina
AR,Cuadro Nacional,M,Argentina
AR,Cuatreros/Bahia Blanca,B,Argentina
AR,Curuzú Cuatiá,W,Argentina
AR,Cutral-Có,Q,Argentina
AR,Daireaux,B,Argentina
AR,Del Guazu,E,Argentina
AR,Del Viso,B,Argentina
AR,Diamante,R,Argentina
AR,Dock Sud,C,Argentina
AR,Dock Sur,B,Argentina
AR,Don Torcuato,B,Argentina
AR,Dorrego,M,Argentina
AR,El Bolsón,R,Argentina
AR,El Bolsón,K,Argentina
AR,El Bordo,A,Argentina
AR,El Calafate,Z,Argentina
AR,El Carril,A,Argentina
AR,El Maitén,U,Argentina
AR,El Palomar,B,Argentina
AR,El Plumerillo,M,Argentina
AR,El Talar de Pacheco,B,Argentina
AR,El Trébol,S,Argentina
AR,Eldorado,N,Argentina
AR,Embarcacíon,A,Argentina
AR,Ensenada,B,Argentina
AR,Espeleta,B,Argentina
AR,Esperanza,S,Argentina
AR,Esquel,U,Argentina
AR,Esteban Echeverría,B,Argentina
AR,Etruria,X,Argentina
AR,Eugenio Bustos,M,Argentina
AR,Ezeiza,B,Argentina
AR,Famaillá,T,Argentina
AR,Federación,E,Argentina
AR,Fernández,G,Argentina
AR,Ferreyra,X,Argentina
AR,Florencio Varela,B,Argentina
AR,Florida,B,Argentina
AR,Formosa,P,Argentina
AR,Franck,S,Argentina
AR,Fray Luis A. Beltrán,S,Argentina
AR,Fray Luis Beltran,M,Argentina
AR,Freyre,X,Argentina
AR,Frontera,X,Argentina
AR,Fuentes,S,Argentina
AR,Funes,S,Argentina
AR,Gálvez,S,Argentina
AR,Garín,B,Argentina
AR,General Alvear,M,Argentina
AR,General Belgrano,B,Argentina
AR,General Cabrera,X,Argentina
AR,General Deheza,X,Argentina
AR,General Enrique Godoy,R,Argentina
AR,General Enrique Mosconi,A,Argentina
AR,General Güemes,A,Argentina
AR,General Gutiérrez,M,Argentina
AR,General Lagos,S,Argentina
AR,General Lavalle,B,Argentina
AR,General Madariaga,B,Argentina
AR,General Pacheco,B,Argentina
AR,General Pico,L,Argentina
AR,General Ramírez,E,Argentina
AR,General Roca,R,Argentina
AR,General Rodríguez,B,Argentina
AR,General Villegas,B,Argentina
AR,Gerli,B,Argentina
AR,Gobernador Benegas,M,Argentina
AR,Gobernador Crespo,S,Argentina
AR,Gobernador Gregores,Z,Argentina
AR,Gobernador Roca,N,Argentina
AR,Godoy Cruz,M,Argentina
AR,Gowland,B,Argentina
AR,Goya,W,Argentina
AR,Granadero Baigorria,S,Argentina
AR,Grand Bourg,B,Argentina
AR,Gualeguay,E,Argentina
AR,Gualeguaychú,E,Argentina
AR,Guaymallén,M,Argentina
AR,Güemes,T,Argentina
AR,Guerrico,B,Argentina
AR,Haedo,B,Argentina
AR,Hernando,X,Argentina
AR,Herrera Vegas,B,Argentina
AR,Hickmann,A,Argentina
AR,Hughes,S,Argentina
AR,Humboldt,S,Argentina
AR,Hurlingham,B,Argentina
AR,Ibicuy,E,Argentina
AR,Iguazú,N,Argentina
AR,Ingeniero Allan,B,Argentina
AR,Ingeniero Giagnoni,M,Argentina
AR,Ingeniero J. Allan,B,Argentina
AR,Ingeniero Jacobacci,R,Argentina
AR,Ingeniero Luis A. Huergo,R,Argentina
AR,Ingeniero Maschwitz,B,Argentina
AR,Ingeniero White/Bahia Blanca,B,Argentina
AR,Ireneo Portela,B,Argentina
AR,Isidro Casanova,K,Argentina
AR,Ituzaingo,B,Argentina
AR,Jauregui,B,Argentina
AR,Jorge Newbury Apt/Buenos Aires,B,Argentina
AR,José C. Paz,B,Argentina
AR,José de San Martín,U,Argentina
AR,Jose Leon Suarez,B,Argentina
AR,Juárez Celman,X,Argentina
AR,Jujuy,Y,Argentina
AR,Junin,M,Argentina
AR,Junín,B,Argentina
AR,Junín de Los Andes,Q,Argentina
AR,La Calera,X,Argentina
AR,La Carlota,X,Argentina
AR,La Consulta,M,Argentina
AR,La Cumbre,X,Argentina
AR,La Escondida,H,Argentina
AR,La Falda,X,Argentina
AR,La Paz,E,Argentina
AR,La Paz,M,Argentina
AR,La Plata,B,Argentina
AR,La Quiaca,Y,Argentina
AR,La Reja,B,Argentina
AR,La Rioja,F,Argentina
AR,La Tablada,G,Argentina
AR,La Toma,D,Argentina
AR,Laferrere,B,Argentina
AR,Lago Argentino,Z,Argentina
AR,Lanús,B,Argentina
AR,Larroque,E,Argentina
AR,Las Catitas,M,Argentina
AR,Las Compuertas,M,Argentina
AR,Las Heras,M,Argentina
AR,Las Heras,Z,Argentina
AR,Las Higueras,X,Argentina
AR,Las Lomitas,P,Argentina
AR,Las Palmas,B,Argentina
AR,Las Paredes,M,Argentina
AR,Las Parejas,S,Argentina
AR,Las Varillas,X,Argentina
AR,Lavalle,K,Argentina
AR,Leandro N. Alem,N,Argentina
AR,Ledesma,Y,Argentina
AR,León Rouges,T,Argentina
AR,Lezama (Manuel J. Cobo),B,Argentina
AR,Lima,B,Argentina
AR,Llavallol,B,Argentina
AR,Loberia,B,Argentina
AR,Loma Hermosa,B,Argentina
AR,Lomas de Zamora,B,Argentina
AR,Lomas del Mirador,B,Argentina
AR,Loncopué,Q,Argentina
AR,Los Boulevares,X,Argentina
AR,Los Charrúas,E,Argentina
AR,Los Menucos,R,Argentina
AR,Los Polvorines,B,Argentina
AR,Luis Guillon,B,Argentina
AR,Luján,B,Argentina
AR,Lujan de Cuyo,M,Argentina
AR,Lules,T,Argentina
AR,Luque,X,Argentina
AR,Luzuriaga,M,Argentina
AR,Magdalena,B,Argentina
AR,Mainque,R,Argentina
AR,Maipú,M,Argentina
AR,Malargüe,M,Argentina
AR,Manuel B. Gonnet,B,Argentina
AR,Maquinchao,R,Argentina
AR,Mar del Plata,B,Argentina
AR,Marcos Juarez,X,Argentina
AR,Maria Grande,E,Argentina
AR,Mariano J. Haedo,B,Argentina
AR,Martin Coronado,B,Argentina
AR,Martínez,B,Argentina
AR,Mataderos,B,Argentina
AR,Matheu,B,Argentina
AR,Mayor Drummond,M,Argentina
AR,Medanitos,K,Argentina
AR,Melchor Romero,B,Argentina
AR,Mendoza,M,Argentina
AR,Mercedes,W,Argentina
AR,Merlo,D,Argentina
AR,Milagro,F,Argentina
AR,Ministro Pistarini Apt/Buenos Aires,B,Argentina
AR,Miramar,B,Argentina
AR,Mocoretá,W,Argentina
AR,Molinos,,Argentina
AR,Monte Caseros,W,Argentina
AR,Monte Chingolo,B,Argentina
AR,Monte Cristo,X,Argentina
AR,Monte Grand,B,Argentina
AR,Monte Maíz,X,Argentina
AR,Monte Quemado,G,Argentina
AR,Montecarlo,N,Argentina
AR,Moquehuá,B,Argentina
AR,Moreno,B,Argentina
AR,Moron,,Argentina
AR,Mosconi,A,Argentina
AR,Munro,B,Argentina
AR,Naschel,D,Argentina
AR,Navarro,B,Argentina
AR,Necochea,B,Argentina
AR,Neuquén,Q,Argentina
AR,Nogoyá,E,Argentina
AR,Nonogasta,F,Argentina
AR,Nueve de Julio,B,Argentina
AR,Obera,N,Argentina
AR,Oberá,N,Argentina
AR,Olavarría,B,Argentina
AR,Olivos,B,Argentina
AR,Oncativo,X,Argentina
AR,Open Door,B,Argentina
AR,Oran,A,Argentina
AR,Pablo Podestá,B,Argentina
AR,Palmira,,Argentina
AR,Palpala,Y,Argentina
AR,Pampa del Castillo,U,Argentina
AR,Paraná,E,Argentina
AR,Pasco,X,Argentina
AR,Paso de los Libres,W,Argentina
AR,Pedro Luro,B,Argentina
AR,Pehuajó,B,Argentina
AR,Perdriel,M,Argentina
AR,Perez,S,Argentina
AR,Pérez Millán,B,Argentina
AR,Pergamino,B,Argentina
AR,Perito Moreno,Z,Argentina
AR,Pichanal,A,Argentina
AR,Pico Truncado,Z,Argentina
AR,Piedritas,B,Argentina
AR,Pigue,B,Argentina
AR,Pilar,B,Argentina
AR,Pilcomayo,P,Argentina
AR,Pinamar,B,Argentina
AR,Platanos,B,Argentina
AR,Plottier,Q,Argentina
AR,Pocitos,A,Argentina
AR,Poman,K,Argentina
AR,Posadas,N,Argentina
AR,Pozo del Molle,X,Argentina
AR,Presidente Roque Sáenz Peña,H,Argentina
AR,Puerto Alumbrera,S,Argentina
AR,Puerto Belgrano/Bahia Blanca,B,Argentina
AR,Puerto Borghi,,Argentina
AR,Puerto Deseado,Z,Argentina
AR,Puerto Eldorado,N,Argentina
AR,Puerto Galvan/Bahia Blanca,B,Argentina
AR,Puerto Ingeniero M. Rocca,B,Argentina
AR,Puerto Lavalle,W,Argentina
AR,Puerto Madero,B,Argentina
AR,Puerto Madryn,U,Argentina
AR,Puerto Mineral,N,Argentina
AR,Puerto Nacional/Bahia Blanca,B,Argentina
AR,Puerto Rico,N,Argentina
AR,Puerto Rosales/Bahia Blanca,B,Argentina
AR,Puerto San Julian,Z,Argentina
AR,Puerto Tirol,H,Argentina
AR,Puerto Wanda,N,Argentina
AR,Punta Colorada,R,Argentina
AR,Punta de Vacas,M,Argentina
AR,Punta Loyola,,Argentina
AR,Punta Medanos,B,Argentina
AR,Punta Quilla,,Argentina
AR,Quebracho/San Lorenzo,S,Argentina
AR,Quequén,B,Argentina
AR,Quilmes,B,Argentina
AR,Rafaela,S,Argentina
AR,Ramallo,B,Argentina
AR,Ramos Mejia,B,Argentina
AR,Ranelagh,B,Argentina
AR,Rawson,U,Argentina
AR,Recalde,B,Argentina
AR,Reconquista,S,Argentina
AR,Remedios de Escalada,B,Argentina
AR,Resinfor,S,Argentina
AR,Resistencia,H,Argentina
